Aether M5 API Ledger: Honest Failures
=====================================
Category | API Name                                 | Call Count
----------------------------------------------------------------------
DOM      | img-fetch-failed:https://upload.wikimedia.org/wikipedia/commons/4 | 2
DOM      | img-fetch-failed:https://upload.wikimedia.org/wikipedia/commons/5 | 1
DOM      | img-fetch-failed:https://upload.wikimedia.org/wikipedia/commons/a | 1
DOM      | img-fetch-failed:https://upload.wikimedia.org/wikipedia/commons/d | 1
DOM      | img-fetch-failed:https://upload.wikimedia.org/wikipedia/commons/t | 13
DOM      | img-fetch-failed:https://upload.wikimedia.org/wikipedia/en/thumb/ | 3
DOM      | img-missing:https://upload.wikimedia.org/wikipedia/commons/4 | 3
DOM      | img-missing:https://upload.wikimedia.org/wikipedia/commons/a | 3
DOM      | img-missing:https://upload.wikimedia.org/wikipedia/commons/t | 39
DOM      | img-missing:https://upload.wikimedia.org/wikipedia/en/thumb/ | 12
CSS      | at-rule:@counter-style                   | 3
CSS      | at-rule:@keyframes                       | 1
CSS      | background-image-value:url('data:image/svg+xml | 6
CSS      | background-value:var(--background-color-b | 16
CSS      | background-value:var(--background-color-d | 12
CSS      | background-value:var(--background-color-e | 5
CSS      | background-value:var(--background-color-i | 17
CSS      | background-value:var(--background-color-n | 8
CSS      | background-value:var(--background-color-p | 11
CSS      | background-value:var(--background-color-s | 1
CSS      | background-value:var(--background-color-t | 5
CSS      | background-value:var(--background-color-w | 3
CSS      | background-value:var(--border-color-base, | 1
CSS      | background-value:var(--color-base,#202122 | 1
CSS      | background-value:var(--color-disabled-emp | 1
CSS      | background-value:var(--color-progressive, | 1
CSS      | border-value:inherit                     | 1
CSS      | color-value:var(--color-base)            | 2
CSS      | color-value:var(--color-base,#202122     | 17
CSS      | color-value:var(--color-base--hover,     | 1
CSS      | color-value:var(--color-base-fixed,#     | 4
CSS      | color-value:var(--color-destructive,     | 3
CSS      | color-value:var(--color-destructive-     | 5
CSS      | color-value:var(--color-disabled,#a2     | 6
CSS      | color-value:var(--color-disabled-emp     | 1
CSS      | color-value:var(--color-emphasized,#     | 4
CSS      | color-value:var(--color-error,#bf3c2     | 5
CSS      | color-value:var(--color-icon-error,#     | 1
CSS      | color-value:var(--color-icon-notice,     | 1
CSS      | color-value:var(--color-icon-progres     | 1
CSS      | color-value:var(--color-icon-success     | 1
CSS      | color-value:var(--color-icon-warning     | 1
CSS      | color-value:var(--color-inverted,#ff     | 1
CSS      | color-value:var(--color-inverted-fix     | 3
CSS      | color-value:var(--color-neutral,#404     | 1
CSS      | color-value:var(--color-placeholder,     | 2
CSS      | color-value:var(--color-progressive)     | 1
CSS      | color-value:var(--color-progressive,     | 7
CSS      | color-value:var(--color-progressive-     | 8
CSS      | color-value:var(--color-subtle,#5459     | 8
CSS      | color-value:var(--color-visited,#6a6     | 1
CSS      | font-size-value:inherit                  | 2
CSS      | font-size-value:larger                   | 2
CSS      | font-size-value:var(--font-size-medium)  | 1
CSS      | font-size-value:var(--font-size-medium,1 | 6
CSS      | font-size-value:var(--font-size-small,0. | 12
CSS      | font-weight-value:inherit                | 2
CSS      | line-height-value:1.25em                 | 2
CSS      | line-height-value:1.2em                  | 4
CSS      | line-height-value:1.4em                  | 2
CSS      | line-height-value:1.5em                  | 3
CSS      | line-height-value:1.6em                  | 2
CSS      | line-height-value:125%                   | 1
CSS      | line-height-value:inherit                | 2
CSS      | line-height-value:var(--line-height-conten | 1
CSS      | line-height-value:var(--line-height-medium | 2
CSS      | line-height-value:var(--line-height-small, | 2
CSS      | media-feature:prefers-color-scheme       | 13
CSS      | media-feature:prefers-reduced-motion     | 1
CSS      | named-color:0.1em                        | 4
CSS      | named-color:center                       | 1
CSS      | named-color:center/12px                  | 1
CSS      | named-color:center/9px                   | 3
CSS      | named-color:inherit                      | 4
CSS      | named-color:no-repeat                    | 6
CSS      | named-color:none                         | 4
CSS      | named-color:right                        | 1
CSS      | named-color:top                          | 1
CSS      | named-color:transparent                  | 11
CSS      | named-color:var(--background-color-b     | 16
CSS      | named-color:var(--background-color-d     | 14
CSS      | named-color:var(--background-color-e     | 8
CSS      | named-color:var(--background-color-i     | 18
CSS      | named-color:var(--background-color-n     | 8
CSS      | named-color:var(--background-color-p     | 14
CSS      | named-color:var(--background-color-s     | 1
CSS      | named-color:var(--background-color-t     | 5
CSS      | named-color:var(--background-color-w     | 3
CSS      | named-color:var(--border-color-base,     | 7
CSS      | named-color:var(--border-color-destr     | 6
CSS      | named-color:var(--border-color-disab     | 2
CSS      | named-color:var(--border-color-error     | 4
CSS      | named-color:var(--border-color-inter     | 8
CSS      | named-color:var(--border-color-muted     | 2
CSS      | named-color:var(--border-color-notic     | 1
CSS      | named-color:var(--border-color-progr     | 13
CSS      | named-color:var(--border-color-subtl     | 8
CSS      | named-color:var(--border-color-succe     | 1
CSS      | named-color:var(--border-color-trans     | 8
CSS      | named-color:var(--border-color-warni     | 3
CSS      | named-color:var(--color-base)            | 2
CSS      | named-color:var(--color-base,#202122     | 18
CSS      | named-color:var(--color-base--hover,     | 1
CSS      | named-color:var(--color-base-fixed,#     | 4
CSS      | named-color:var(--color-destructive,     | 3
CSS      | named-color:var(--color-destructive-     | 5
CSS      | named-color:var(--color-disabled,#a2     | 6
CSS      | named-color:var(--color-disabled-emp     | 2
CSS      | named-color:var(--color-emphasized,#     | 4
CSS      | named-color:var(--color-error,#bf3c2     | 5
CSS      | named-color:var(--color-icon-error,#     | 1
CSS      | named-color:var(--color-icon-notice,     | 1
CSS      | named-color:var(--color-icon-progres     | 1
CSS      | named-color:var(--color-icon-success     | 1
CSS      | named-color:var(--color-icon-warning     | 1
CSS      | named-color:var(--color-inverted,#ff     | 1
